States,Districts,Percentage of Women who had - Any Pregnancy complication7,Percentage of Women who had - Any Delivery complication7,Percentage of Women who had - Any Post-delivery complication7,Percentage of Women who had - Problem of vaginal discharge during last three months,Percentage of Women who had - Menstrual related problems during last three months**
Andaman and Nicobar Islands,Total,46.2,39.1,21.1,6.5,11.7
Andaman and Nicobar Islands,North & Middle Andamans,29.1,20.1,10.7,4.4,3.5
Andaman and Nicobar Islands,South Andaman,57,48.8,23.6,10.6,19.1
Andaman and Nicobar Islands,Nicobars,35.3,34.5,19.3,2,5.1
Andhra Pradesh,Total,34.9,19.9,15.8,6.1,12.4
Andhra Pradesh,Srikakulam,24.6,11.7,7.9,10.5,19.8
Andhra Pradesh,Vizianagaram,41.1,26.3,30.7,9.1,11
Andhra Pradesh,Visakhapatnam,36,15.6,13.7,8.8,15.1
Andhra Pradesh,East Godavari,38.4,23.1,19,4.5,11.1
Andhra Pradesh,West Godavari,42.4,29.4,18.2,2.7,12.9
Andhra Pradesh,Krishna,47.4,25.4,31.8,12.4,10.1
Andhra Pradesh,Guntur,32.5,16.7,10.9,5.5,10.7
Andhra Pradesh,Prakasam,45.7,19.2,13.6,4.1,5.6
Andhra Pradesh,Nellore,49.7,34.5,20.7,4.5,14.5
Andhra Pradesh,Cuddapah,31,13.9,11.6,6.9,16.3
Andhra Pradesh,Kurnool,26.6,16.1,9.9,3.5,13.9
Andhra Pradesh,Anantapur,23.6,9.1,11.5,4.8,11.2
Andhra Pradesh,Chittoor,34.8,20.5,20.5,5.2,8.3
Arunachal Pradesh,Total,39.6,25.8,16.2,10.3,14.6
Arunachal Pradesh,Tawang,31.9,25,13.4,7.1,10
Arunachal Pradesh,West Kameng,29.3,26.5,11.2,11.9,14.6
Arunachal Pradesh,East Kameng,36.2,10.4,13.6,5.4,9.8
Arunachal Pradesh,Papumpare,37.2,25.6,10.7,8.9,15.6
Arunachal Pradesh,Lower Subansiri,50.9,31.9,22.4,22.5,23
Arunachal Pradesh,Upper Subansiri,30.5,21,9,8,13.9
Arunachal Pradesh,West Siang,36.1,27,16.1,9.3,16.8
Arunachal Pradesh,East Siang,49.1,32.2,12,6.2,14.2
Arunachal Pradesh,Upper Siang,28.4,24.9,12.7,3.1,5.9
Arunachal Pradesh,Dibang Valley,48.6,23.9,14.5,14,16
Arunachal Pradesh,Lohit,47.4,37.5,20.7,16.2,16.2
Arunachal Pradesh,Changlang,43.7,18.6,18.2,4.6,7.8
Arunachal Pradesh,Tirap,48.3,37.1,29.7,21.9,30.1
Arunachal Pradesh,Kurung Kumey,33.2,18.4,14.6,3.7,11.1
Arunachal Pradesh,Lower Dibang Valley,45.3,30.6,28.4,4,7.5
Arunachal Pradesh,Anjaw,23.6,12.9,12.2,6.4,11.8
Chandigarh,Total,40.6,21.3,6.8,9.8,10
Goa,Total,36.2,24.4,14.7,3.2,11.7
Goa,North Goa,38.7,24.6,15.6,5.4,16
Goa,South Goa,34,22.4,12.4,1.3,7.8
Haryana,Total,37.5,42.9,15.2,5.6,6.5
Haryana,Panchukala,40.6,44.5,18.8,3.8,4.6
Haryana,Ambala ,33.2,48.5,9.6,1.8,2.5
Haryana,Yamunanagar,43.8,66.5,14.5,4.1,6.6
Haryana,Kuruksherta,24.4,36.4,11.7,5.2,7.5
Haryana,kaithal,40,45.9,21.5,5.4,5.5
Haryana,Karnal,33.9,45.5,13.7,5.8,10.2
Haryana,Panipat,42.8,62.6,25.6,4.7,10.7
Haryana,Sonipat,56,51.6,14.2,4.1,4.9
Haryana,Jind,33.1,38.6,8.1,4.3,4.1
Haryana,Fatehabad,38.8,65.1,23.2,5.2,5.5
Haryana,Sirsa,53.9,51,23.1,6.6,7.8
Haryana,Hisar,40.9,34.5,9.5,7.5,5
Haryana,Bhiwani,34.1,48.2,12.9,9.6,7.7
Haryana,Rohtak,55.2,36.5,26.6,5.4,7.8
Haryana,Jhajjar,46.1,35.6,19.9,6.2,7.1
Haryana,Mahendragarh,34.7,41.1,6.5,11.2,6.8
Haryana,Rewari,19.8,29.6,5.8,6.2,7.1
Haryana,Gurgaon,35.9,28.1,15,5.5,3.1
Haryana,Faridabad,25.7,27.5,7.2,3.8,2.8
Haryana,Mewat,18.9,28.7,15.9,6.9,7.9
Haryana,Palwal,15.3,28.4,8.5,4.3,8.4
Himachal Pradesh,Total,39.8,45.6,21,6.3,7.8
Himachal Pradesh,Chamba,18.9,23,12.3,4.6,4.7
Himachal Pradesh,Kangra,32.7,35.3,15.7,5.4,7.1
Himachal Pradesh,Lahul & Spiti,27.3,36.4,15.2,7.7,6
Himachal Pradesh,Kullu,33,25.7,16.8,10,8.2
Himachal Pradesh,Mandi,34.7,27.8,13.3,5.7,6.8
Himachal Pradesh,Hamirpur,69.2,81.5,42.5,4.2,13.6
Himachal Pradesh,Una,41.2,56.9,27.7,6.4,11.2
Himachal Pradesh,Bilaspur,51.6,58.5,35.1,7.7,9.1
Himachal Pradesh,Solan,49.3,60.3,16.6,4.5,8.6
Himachal Pradesh,Sirmaur,34,27.9,11.1,7.9,8.1
Himachal Pradesh,Shimla,16.8,34,4,2.3,1.3
Himachal Pradesh,Kinnaur,66.7,64.9,51.4,9.4,10
Karnataka,Total,37.6,26.7,12.8,6.2,11.8
Karnataka,Belgaum,50.4,45.8,21.4,5.5,18
Karnataka,Bagalkot,22.6,7.2,4.5,4,10.1
Karnataka,Bijapur,40,30.7,9.3,6.2,15.4
Karnataka,Gulbarga,28.5,24.8,9.3,2.5,12.7
Karnataka,Bidar,15.6,9.5,5,2.9,7.2
Karnataka,Raichur,25.6,17.1,6.7,4.7,8.8
Karnataka,Koppal,29.8,16.3,15.9,11.2,11.2
Karnataka,Gadag,30.7,18.1,15.2,6.4,8.1
Karnataka,Dharwad,59.1,43.7,24.3,6.8,8.1
Karnataka,Uttara kannada,45.8,35.2,18.3,7.3,11.3
Karnataka,Haveri,41.5,22.1,14.3,9.3,11
Karnataka,Bellary,23.3,6.4,5.7,6.9,9.8
Karnataka,Chitradurga,24.9,17.2,5.9,4.1,12.2
Karnataka,Devangere,35.8,17.4,10.6,9.3,11
Karnataka,Shimoga,45.2,29.6,12.4,6.3,11.1
Karnataka,Udupi,51.9,39.8,28,0.9,6.7
Karnataka,Chickmanglur,30.1,37,26.8,5.1,12.5
Karnataka,Tumkur,30.1,28.9,7.9,2.5,13.5
Karnataka,Kolar,30.1,30.9,7.7,4,7.1
Karnataka,Banglore,50.8,37.4,17.9,12.1,13.7
Karnataka,Banglore Rural,48.1,36.9,7.1,6.5,14.7
Karnataka,Mandya,56.6,38.9,15.9,7.5,12.3
Karnataka,Hassan,62.1,44.4,20.3,12.3,26.1
Karnataka,Dakshina Kannada,53.7,45.6,11.1,9.4,8.9
Karnataka,Kodagu,55.1,46.9,17.4,8.3,18.8
Karnataka,Mysore,39.8,33.9,14.7,4.4,12.4
Karnataka,Chamaranjangar,35.3,30.1,5.5,8.9,11.6
Karnataka,Ramanagara,50.2,31.3,22.1,8.7,10.5
Karnataka,Chikkaballarpura,28.3,24.7,6.6,5.2,13.3
Karnataka,Yadgir,23.7,17,7.5,1.7,5.3
Kerala,Total,45.1,15.5,9.2,1.5,8.8
Kerala,Kasaragod,24.1,14.4,9.1,4.3,9
Kerala,Kannur,36.7,15.3,5.1,1.3,13.4
Kerala,Wayanad,56.1,9.4,1.7,2.5,5.4
Kerala,Kozhikode,62.5,15.6,15.6,4.1,10.9
Kerala,Malappuram,56.5,22.8,11.2,1.5,4.9
Kerala,Palakkad,24.1,80.5,29.3,1.6,3.1
Kerala,Thrissur,46.4,6.7,11.3,5.4,5.7
Kerala,Ernakulam,47.6,17.3,11.4,2.5,8.2
