S.No,State/UT,2016-17,2017-18,2018-19,2019-20
1,Andhra Pradesh,202.53,404.05,407.81,NP
2,Assam,374.47,390.7,254.43,288.62
3,Bihar,125.16,183.45,NP,957.6
4,Chhattisgarh,NP,NP,99.75,NP
5,Delhi,NP,NP,82.08,72.96
6,Gujarat,134.59,358.01,NP,NP
7,Haryana,538.23,489.3,196.9,NP
8,Himachal Pradesh,96,266,385.17,385.17
9,J&K,104,118.06,212.8,NP
10,Kerala,64,66.5,26.6,119.7
11,Lakshadweep,1.8,14.4,14.4,NP
12,Maharashtra,638.4,766.08,531.45,100
13,Manipur,NP,NP,NP,116.2
14,Mizoram,6.05,4.53,NP,NP
15,MP,NP,NP,NP,107.25
16,Odisha,682.73,502.95,NP,382.23
17,Puducherry,NP,NP,36,36
18,Punjab,136.8,140,139.65,NP
19,Rajasthan,NP,NP,NP,3000
20,Telangana,169.3,284.74,273.8,NP
21,Tripura,41.18,NP,NP,5.16
22,Uttarakhand,95.84,NP,105.64,134.06
23,West Bengal,292.8,456.26,684.13,756.65
Total,Total,3703.88,4445.03,3450.61,6461.6
